ANO_SAEB;CO_UF;NO_UF;DEPENDENCIA_ADM;LOCALIZACAO;CAPITAL;TX_ALFABETIZADO;MEDIA_2_LP;MEDIA_2_MT
2021;13;Amazonas;Total - Estadual e Municipal;Urbana;Capital;38,57;720,56;734,74
2021;13;Amazonas;Total - Estadual e Municipal;Urbana;Interior;15,74;689,62;721,33
2021;13;Amazonas;Total - Estadual e Municipal;Rural;Total;26,03;699,59;719,18
2021;13;Amazonas;Total - Estadual e Municipal;Rural;Capital;14,29;693,87;717,22
2021;13;Amazonas;Total - Estadual e Municipal;Rural;Interior;27,62;700,36;719,45
2021;13;Amazonas;Total - Federal, Estadual e Municipal;Total;Total;28,76;706,77;727,97
2021;13;Amazonas;Total - Federal, Estadual e Municipal;Total;Capital;37,91;719,82;734,26
2021;13;Amazonas;Total - Federal, Estadual e Municipal;Total;Interior;18,47;692,09;720,89
2021;13;Amazonas;Total - Federal, Estadual e Municipal;Urbana;Total;29,14;707,77;729,2
2021;13;Amazonas;Total - Federal, Estadual e Municipal;Urbana;Capital;38,57;720,56;734,74
2021;13;Amazonas;Total - Federal, Estadual e Municipal;Urbana;Interior;15,74;689,62;721,33
2021;13;Amazonas;Total - Federal, Estadual e Municipal;Rural;Total;26,03;699,59;719,18
2021;13;Amazonas;Total - Federal, Estadual e Municipal;Rural;Capital;14,29;693,87;717,22
2021;13;Amazonas;Total - Federal, Estadual e Municipal;Rural;Interior;27,62;700,36;719,45
2021;29;Bahia;Total - Federal, Estadual, Municipal e Privada;Total;Total;31,65;714,97;723,92
2021;29;Bahia;Total - Federal, Estadual, Municipal e Privada;Total;Capital;41,76;729,91;729,59
2021;29;Bahia;Total - Federal, Estadual, Municipal e Privada;Total;Interior;29,95;712,45;722,96
2021;29;Bahia;Total - Federal, Estadual, Municipal e Privada;Urbana;Total;27,4;714,09;722,46
2021;29;Bahia;Total - Federal, Estadual, Municipal e Privada;Urbana;Capital;41,8;729,93;729,57
2021;29;Bahia;Total - Federal, Estadual, Municipal e Privada;Urbana;Interior;24,3;710,68;720,93
2021;29;Bahia;Total - Federal, Estadual, Municipal e Privada;Rural;Total;50,03;718,78;730,18
2021;29;Bahia;Total - Federal, Estadual, Municipal e Privada;Rural;Capital;32,26;724,61;734,68
2021;29;Bahia;Total - Federal, Estadual, Municipal e Privada;Rural;Interior;50,08;718,76;730,17
2021;29;Bahia;Federal;Total;Total;0;;
2021;29;Bahia;Federal;Total;Capital;0;;
2021;29;Bahia;Federal;Total;Interior;0;;
2021;29;Bahia;Federal;Urbana;Total;0;;
2021;29;Bahia;Federal;Urbana;Capital;0;;
2021;29;Bahia;Federal;Urbana;Interior;0;;
2021;29;Bahia;Estadual;Total;Total;60,53;749,04;745,11
2021;29;Bahia;Estadual;Total;Capital;60,53;749,04;745,11
2021;29;Bahia;Estadual;Total;Interior;0;;
2021;29;Bahia;Estadual;Urbana;Total;60,53;749,04;745,11
2021;29;Bahia;Estadual;Urbana;Capital;60,53;749,04;745,11
2021;29;Bahia;Estadual;Urbana;Interior;0;;
2021;29;Bahia;Estadual;Rural;Total;0;;
2021;29;Bahia;Estadual;Rural;Interior;0;;
2021;29;Bahia;Municipal;Total;Total;24,47;703,77;717,37
2021;29;Bahia;Municipal;Total;Capital;25,17;709,16;717,87
2021;29;Bahia;Municipal;Total;Interior;24,37;703,06;717,3
2021;29;Bahia;Municipal;Urbana;Total;16,91;699,45;713,58
2021;29;Bahia;Municipal;Urbana;Capital;25,13;709,07;717,77
2021;29;Bahia;Municipal;Urbana;Interior;15,46;697,76;712,84
2021;29;Bahia;Municipal;Rural;Total;49,81;718,24;730,07
2021;29;Bahia;Municipal;Rural;Capital;32,26;724,61;734,68
2021;29;Bahia;Municipal;Rural;Interior;49,86;718,22;730,06
2021;29;Bahia;Privada;Total;Total;61,79;762,01;751,39
2021;29;Bahia;Privada;Total;Capital;72,22;768,05;751,07
2021;29;Bahia;Privada;Total;Interior;58,07;759,85;751,51
2021;29;Bahia;Privada;Urbana;Total;61,73;762,04;751,56
2021;29;Bahia;Privada;Urbana;Capital;72,22;768,05;751,07
2021;29;Bahia;Privada;Urbana;Interior;57,92;759,86;751,74
2021;29;Bahia;Privada;Rural;Total;66,67;759,59;738,57
2021;29;Bahia;Privada;Rural;Interior;66,67;759,59;738,57
2021;29;Bahia;Total - Estadual e Municipal;Total;Total;24,49;703,8;717,39
2021;29;Bahia;Total - Estadual e Municipal;Total;Capital;25,42;709,44;718,06
2021;29;Bahia;Total - Estadual e Municipal;Total;Interior;24,37;703,06;717,3
2021;29;Bahia;Total - Estadual e Municipal;Urbana;Total;16,95;699,5;713,61
2021;29;Bahia;Total - Estadual e Municipal;Urbana;Capital;25,38;709,35;717,96
2021;29;Bahia;Total - Estadual e Municipal;Urbana;Interior;15,46;697,76;712,84
2021;29;Bahia;Total - Estadual e Municipal;Rural;Total;49,81;718,24;730,07
2021;29;Bahia;Total - Estadual e Municipal;Rural;Capital;32,26;724,61;734,68
2021;29;Bahia;Total - Estadual e Municipal;Rural;Interior;49,86;718,22;730,06
2021;29;Bahia;Total - Federal, Estadual e Municipal;Total;Total;24,49;703,8;717,39
2021;29;Bahia;Total - Federal, Estadual e Municipal;Total;Capital;25,42;709,44;718,06
2021;29;Bahia;Total - Federal, Estadual e Municipal;Total;Interior;24,37;703,06;717,3
2021;29;Bahia;Total - Federal, Estadual e Municipal;Urbana;Total;16,95;699,5;713,61
2021;29;Bahia;Total - Federal, Estadual e Municipal;Urbana;Capital;25,38;709,35;717,96
2021;29;Bahia;Total - Federal, Estadual e Municipal;Urbana;Interior;15,46;697,76;712,84
2021;29;Bahia;Total - Federal, Estadual e Municipal;Rural;Total;49,81;718,24;730,07
2021;29;Bahia;Total - Federal, Estadual e Municipal;Rural;Capital;32,26;724,61;734,68
